R,yc
4,5.3093
8,5.2073
8,5.1178
8,5.1137
8,5.1907
8,5.5113
8,5.5823
8,5.7126
8,5.792
8,5.8953
8,5.9979
4,6.0085
4,6.1599
4,6.0172
4,5.8812
4,5.8023
4,5.5957
4,5.5069
4,5.4081
4,5.2156
4,5.0108
4,5.0108
4,4.8144
4,4.7129
4,4.7119
4,4.4357
4,4.4144
4,4.2455
4,4.2217
4,4.0341
4,4.019
8,3.8383
8,3.9299
8,3.9331
8,4.3065
8,4.6254
8,4.9043
8,5.1096
8,5.3135
8,5.4937
8,5.5912
4,5.7976
4,5.7874
4,5.8059
4,5.708
4,5.5157
4,5.4937
4,5.2031
4,5.1045
4,5.1137
4,4.9131
4,4.7195
4,4.7204
4,4.4312
4,4.4109
4,4.3342
4,4.3124
4,4.133
4,4.0254
4,3.9331
4,3.9215
8,3.7394
8,3.7455
8,3.8291
8,4.3193
8,4.5192
8,4.9092
8,5.1096
8,5.2073
8,5.5015
8,5.5922
4,5.6989
4,5.8849
4,5.708
4,5.8023
4,5.5015
4,5.3951
4,5.306
4,5.126
4,5.0149
4,4.8144
8,4.9043
8,4.5202
8,4.7195
8,5.0149
8,5.1875
8,5.3093
8,5.5069
8,5.7035
8,5.7781
8,5.792
4,6.0037
4,5.8906
4,6.0027
4,5.9001
4,5.6989
4,5.6092
4,5.3994
4,5.3103
4,5.1004
4,5.1219
4,4.9053
4,4.8105
4,4.6365
4,4.5156
4,4.5192
4,4.3134
4,4.3332
4,4.0318
4,4.0286
4,4.0244
8,3.8352
8,3.8383
8,3.9268
8,4.3193
8,4.7054
8,4.9082
8,5.2083
8,5.2115
8,5.5024
8,5.5957
8,5.792
8,5.9048
8,5.8812
8,5.9883
8,6.1905
8,6.022
8,6.1796
8,6.2832
8,6.2832
8,6.1955
4,6.2832
4,6.386
4,6.2933
4,5.9941
4,5.9931
4,5.7966
4,5.7126
4,5.5967
4,5.4124
4,5.199
8,5.2198
8,5.0068
8,5.0108
8,5.2073
8,5.4937
8,5.5069
8,5.6898
8,5.8153
8,5.8859
8,5.8812
8,6.082
8,6.1202
8,6.1757
8,6.1846
8,6.1855
8,6.2094
8,6.2933
8,6.3615
8,6.386
8,6.3084
4,6.3716
4,6.2882
4,6.2933
4,6.1895
4,5.9989
4,5.8991
4,5.7883
4,5.6092
4,5.4081
4,5.306
4,5.1137
4,5.1004
4,4.9289
4,4.8183
4,4.7081
4,4.618
4,4.425
4,4.3263
4,4.3169
4,4.0383
4,4.123
4,4.0318
4,3.8251
4,3.8322
4,3.7424
4,3.6357
4,3.6318
4,3.6357
4,3.4503
4,3.4411
8,3.431
8,3.4383
8,3.5323
8,4.0244
8,4.3169
8,4.7232
8,5.0068
8,5.2198
8,5.4004
8,5.4971
8,5.6012
8,5.8849
8,5.8023
8,5.9931
8,6.0037
8,6.0723
8,6.1202
8,6.1855
8,6.2782
8,6.2732
8,6.2882
8,6.2933
8,6.2882
8,6.3911
8,6.2933
8,6.4847
8,6.3818
8,6.2882
8,6.4013
8,6.4743
8,6.3869
8,6.4013
8,6.4691
8,6.3972
8,6.4899
8,6.4743
8,6.3869
8,6.4691
8,6.3962
8,6.4899
4,6.4795
4,6.3921
4,6.3911
4,6.1955
4,6.1895
4,5.9048
4,5.7966
4,5.6146
4,5.5015
4,5.4937
8,5.1137
8,5.2073
8,5.1086
8,5.3103
8,5.5024
8,5.6002
8,5.6989
8,5.792
8,5.9048
8,6.0918
8,5.9835
8,6.1905
8,6.1163
8,6.2732
8,6.2044
8,6.2832
8,6.2832
8,6.2933
8,6.3869
8,6.2933
8,6.464
8,6.2983
8,6.386
8,6.4023
8,6.4537
8,6.4065
8,6.4075
8,6.4537
8,6.3809
8,6.4126
4,6.5666
4,6.3921
4,6.3758
4,6.2154
4,6.0772
4,5.9979
4,5.7976
4,5.6047
4,5.5113
4,5.3994
8,5.2156
8,5.1086
8,5.1096
8,5.3951
8,5.3951
8,5.6056
8,5.6898
8,5.9181
8,5.8765
8,6.0967
8,5.9893
8,6.1945
8,6.0967
8,6.2782
8,6.1895
8,6.2933
8,6.2782
8,6.2933
8,6.3869
8,6.2882
4,6.4951
4,6.3809
4,6.3034
4,6.1707
4,6.022
4,5.8953
4,5.7827
4,5.6056
4,5.4124
4,5.306
4,5.2073
4,5.0068
